GPSC,Serotype,Reference #
1,"3, 14, 19A, 23F",51
2,1,51
3,"3, 15A, 22F, 23F, 31",51
4,"14, 15B/C, 19A",51
5,"3, 6A, 7C, 15B/C, 17F, 19A, 23A, 23B, 23F, 35B",51
6,"9V, 14, 15A, 15B/C, 19A, 23A, 23B, 23F, 35B",51
7,"23A, 23B, 23F",51
8,5,51
9,"3, 14, 15A, 19A, 23B, 23F",51
10,"3, 10A, 14, 17F, 19A, 23A, 23F, 24",51
11,"3, 6A, 14, 15A, 15B/C, 17F, 18B, 19A",51
12,3,51
13,"6A, 6B, 23F, 35B",51
14,"6B, 14, 19A, 23F",51
15,7F,51
16,"6A, 7C, 13, 14, 15A, 15B/C, 19A, 23F, 24",51
17,"9L, 19A",51
18,"7C, 14, 16F, 19A",51
19,"22F, 23B, 31",51
20,23F,51
21,"14, 19A",51
22,"6A, 9V, 15A, 19A",51
23,"6A, 6B, 19A",51
24,"6A, 6B, 19A",51
25,15B/C,51
26,"9V, 12F",51
27,"4, 14, 19A",51
30,"6A, 6B, 9V, 10A, 35B",51
31,1,51
32,"7F, 12F",51
33,"16F, 19A",51
34,"15A, 22F, 23F",51
37,"6B, 23F",51
38,38,51
39,14,51
40,"6B, 10A, 15A, 15B/C, 17F, 23F",51
41,"6A, 6B, 23B",51
43,"3, 9V, 19A",51
47,"6A, 6B, 9V",51
48,15B/C,51
50,"13, 17F, 18B",51
51,3,51
52,"6B, 13",51
53,19A,51
54,"9V, 23F",51
55,12F,51
56,"7F, 12F",51
57,31,51
58,"6A, 6B, 19A",51
61,"17F, 22F",51
62,"6A, 6B",51
65,"13, 19A",51
67,18B,51
68,"17F, 18B",51
70,4,51
72,35B,51
76,"6A, 6B",51
77,"6A, 6B",51
78,23B,51
79,"4, 14, 19A",51
80,"7C, 13, 15A, 16F, 19A",51
83,3,51
90,"14, 15B/C, 19A",51
91,"23F, 24, 35B",51
93,7C,51
94,"10A, 19A, 23F",51
97,"6A, 19A",51
103,"14, 16F",51
105,"6A, 6B",51
108,14,51
115,6B,51
117,38,51
131,15B/C,51
