Serotype,Publication Year,Reference #
20C,2024,1
33G,2023,2
33E,2023,3
36A,2023,4
36B,2023,4
24C,2021,5
15D,2021,6
10D,2020,7
7D,2018,8
35D,2017,9
6H,2015,10
6G,2013,11
6E,2013,12
20A,2012,13
11E,2010,14
6D,2009,15
6C,2007,16
33D,1995,17
25A,1995,17
20B,1995,17
16A,1995,17
12B,1995,17
11D,1995,17
10C,1995,17
10B,1995,17
47A,1972,18
12A,1967,19
48,1962,20
47F,by 1960,21
41A,by 1960,21
11C,by 1960,21
43,by 1954,22
35C,by 1954,22
28A,by 1954,22
24B,by 1954,22
15C,by 1954,22
46,1950,23
45,1950,23
44,1950,23
17A,1950,23
42,1940,24
41F,1940,24
40,1940,24
39,1940,24
35B,1940,24
35F,1940,24
33F,1940,24
33C,1940,24
33B,1940,24
32A,1940,24
23B,1940,24
22A,1940,24
19C,1940,24
19B,1940,24
18C,1940,24
18B,1940,24
18A,1940,24
11B,1940,24
24A,1940,25
11A,1940,25
7C,1940,25
7B,1940,25
7A,1940,25
38,1938,26
37,1938,26
35A,1938,26
34,1938,26
33A,1938,26
23A,1938,26
19A,1938,26
15A,1938,26
10A,1938,26
9L,1938,26
9N,1938,26
9V,1938,26
6B,1938,26
6A,1938,26
32F,1929,27
31,1929,27
29,1929,27
28F,1929,27
27,1929,27
25F,1929,27
24F,1929,27
23F,1929,27
22F,1929,27
21,1929,27
19F,1929,27
18F,1929,27
17F,1929,27
16F,1929,27
15B,1929,27
15F,1929,27
14,1929,27
13,1929,27
12F,1929,27
11F,1929,27
10F,1929,27
9A,1929,27
8,1929,27
7F,1929,27
6F,1929,27
5,1929,27
4,1929,27
3,1918,28
2,1918,28
1,1881,29
